pincode,area
500001,Afzalgunj
500002,Kuchiguda
500003,Kavadiguda
500004,Basheerbagh
500005,Malakpet
500006,Chikkadpally
500007,Osmania University
500008,Golconda
500009,Bolarum
500010,Jamai Osmania
500011,Fathenagar
500012,Dabeerpura
500013,Chilkalguda
500016,Begumpet
500017,Trimulgherry
500018,Sanathnagar
500019,Chandanagar
500020,New Bhoiguda
500022,Vidyanagar
500023,Nampally
500025,Santoshnagar
500026,Ramgopalpet
500027,Saidabad
500028,Ameerpet
500029,Himayatnagar
500032,Gachibowli
500033,Jubilee Hills
500034,Banjara Hills
500035,Suraram
500036,Yakutpura
500037,Sanathnagar Industrial
500038,Erragadda
500039,Ramanthapur
500040,Moulali
500044,Bharat Nagar
500045,Manovikas Nagar
500048,Hafeezpet
500049,Nizampet
500050,Lingampally
500055,Bowenpally
500060,Saroornagar
500061,Kothapet
500062,Cherlapally
500068,Vanasthalipuram
500070,LB Nagar
500072,Kukatpally
500073,Madhapur
500074,Champapet
500076,Malkajgiri
500079,Nacharam
500081,Kondapur
500084,Gachibowli West
500085,JNTU Kukatpally
500089,Manikonda
500090,Miyapur
500094,Uppal
500097,Quthbullapur
500100,Kcompally
